"institute_name"

" Rangpur Army Nursing College, Rangpur"
"Abdullah Nursing Institute, Rajbari"
"Ad-din Maternity Hospital, Jessore"
"Ad-din Nursing Institute, Jessore."
"Adarsha Nursing Institute, Shirajganj"
"Adarsha Nursing Institute, Sirajganj"
"Adventist University of the Philippines"
"AITAM Welfare Organization, Dhaka"
"Al-Amin Nursing Institute, Sylhet"
"Al-Helal Nursing Institute, Mirpur-11, Dhaka"
"America Bangladesh Friendship Nursing Institute, Joypurhat"
"Anowara Nursing Institute, Dinajpur"
"Anwara Nursing Institute, Dinajpur"
"Anwara-Nur Nursing Institute, Chittagong"
"Anwer Khan Modern Nursing College, Dhanmondi, Dhaka"
"Armed Forces Medical Institute, Dhaka"
"Armed Forces Medical Institute, Dhaka Cantonment"
"Army Nursing College Comilla"
"Army Nursing College, Comilla"
"ART Nursing College, Comilla"
"Asian Nursing Institute, Sheikhpapra, Khulna"
"B A Siddiki Red Crescent Nursing Institute, Dhaka"
"B.A Siddiki R.C Nursing Institute, Dhaka"
"B.A Siddiky R.C Nursing Institute, Dhaka"
"BADS Nursing Institute, Bogra"
"Bagerhat Nursing Institute"
"Bangladesh Adventist Nursing Institute, Gazipur"
"Bangladesh Community Paramedic Institute, Rajshahi"
"Bangladesh Institute of Child Health, Dhaka"
"Barguna Nursing Institute"
"Barind Institute of Nursing Science, Rajshahi"
"Barisal Nursing College, Barisal"
"Begum Osman Ara College of Nursing, Chittagong"
"Begum Rabeya Khatun Chow. Nursing College, Sylhet"
"BF Community Paramedic Institute, Joypurhat"
"Bhola Nursing Institute"
"Bijoy Nursing Institute, Chapai Nawabganj"
"Bir Muktijudda S. A Salam Nursing Institute, Faridpur"
"BIRDEM Nursing College, Dhaka"
"Bogra Nursing College"
"Bogra Nursing College, Bogra."
"Bogra Nursing Institute"
"BRAC University Dhaka Centre, Dhaka"
"BRAC University FIVDB Centre, Sylhet"
"BRAC University GBC-CHP Centre, Mymensingh"
"BRAC University Hope Foundation Centre, Coxâ€™s Bazar"
"BRAC University LAMB Centre, Parbatipur, Dinajpur"
"BRAC University PHD Centre, Khulna"
"BRAC University Shimantik Centre, Sylhet"
"Brahmanbaria Nursing Institute"
"Brahmanbaria United Nursing College, Brahmanbaria"
"Bright Nation Nursing Institute, Pabna"
"CARe Nursing Institute, Dhaka"
"Central Hosp Nursing Institute, Dhaka"
"Central Hospital Nursing Institute, Dhaka"
"Chandpur Nursing Institute"
"Chapai Nawabganj Community Paramedic Institute, Chapai Nawabganj"
"Chapai Nawabganj Nursing Institute"
"Chittagong Nursing College, Chittagong"
"CHP Nursing College, Haluaghat, Mymensingh"
"CHP Nursing Institute, Haluaghat, Mymensingh"
"Christian Hospital, Bogra"
"Christian Hospital, Chandragona, Rangamati"
"Christian Mission Nursing Institute, Chandraghona"
"Chuadanga Nursing Institute"
"Civil Surgeon Office, Manikgonj"
"Civil Surgeon Office, Munshigonj"
"Civil Surgeon Office, Tangail"
"College of Nursing Science Dinajpur"
"College of Nursing, Mohakhali, Dhaka"
"Comilla Army Nursing College, Comilla"
"Comilla Diabetic Association Nursing Institute, Comilla"
"Comilla Nursing Institute"
"Community Based Nursing Institute, Mymensingh"
"Coxs Bazar Nursing Institute"
"Crescent Nursing Institute, Kushtia"
"CRP Nursing College, Savar, Dhaka"
"CRP Nursing Institute, Savar, Dhaka"
"CSBA Training center model clinic, Barisal"
"CSBA Training Center-Model Family Planning Clinic, Rangpur"
"Ctg. Maa-O-Shisu Hosp. Nursing Institute, Chittagong"
"DCMT Nursing Institute, Mohammadpur, Dhaka"
"Dept. of Nursing, IUBAT, Uttara, Dhaka"
"Dhaka Central Int. Nursing College And Inst, Shamoly, Dhaka"
"Dhaka Community Nursing College, Moghbazar, Dhaka"
"Dhaka Community Nursing Institute, Moghbazar, Dhaka"
"Dhaka Nursing College, Dhaka"
"Dhaka Shishu Hospital, Dhaka"
"Diabetic Association Nursing Institute, Faridpur"
"Diabetic Association Nursing Institute, Narayanganj"
"Diabetic Association Nursing Institute, Rajshahi"
"Dinajpur Nursing College, Dinajpur"
"Dinajpur Nursing Institute"
"Dr. Halima Khatun Nursing Institute, Mymensingh"
"Dr. Jubeida Khatoon Nursing Institute, Rajshahi"
"Dr. Liza Nursing Institute, Kushtia"
"DWF  Community Paramedic Institute, Patuakhali"
"DWF Midwifery Institute, Patuakhali"
"DWF Nursing College, Barisal"
"DWF Nursing Institute, Barisal"
"East West Nursing College, Turag, Dhaka"
"East West Nursing Institute, Turag, Dhaka"
"Faculty of Nursing, BSMMU, Dhaka"
"Family Welfare Visitors Institute, Azimpur, Dhaka"
"Family Welfare Visitors Institute, Barisal"
"Family Welfare Visitors Institute, Bogra"
"Family Welfare Visitors Institute, Comilla"
"Family Welfare Visitors Institute, Dinajpur"
"Family Welfare Visitors Institute, Faridpur"
"Family Welfare Visitors Institute, Khulna"
"Family Welfare Visitors Institute, Kushtia"
"Family Welfare Visitors Institute, Rajshahi"
"Family Welfare Visitors Institute, Rangamati"
"Family Welfare Visitors Institute, Sylhet"
"Family Welfare Visitors Institute, Tangail"
"Family Welfare Visitors Training Institute, Barisal"
"Family Welfare Visitors Training Institute, Dinajpur"
"Family Welfare Visitors Training Institute, Faridpur"
"Family Welfare Visitors Training Institute, Rajshahi"
"Family Welfare Visitors Training Institute, Rangamati"
"Faridpur Community Paramedic Institute, Faridpur"
"Faridpur Nursing Institute"
"Fatema Hospital, Jessore"
"Fatema Nursing College, Ad-din Hospital, Dhaka"
"Fatema Nursing Institute, Ad-din Hospital, Dhaka"
"Fatima Hospital, Jessore"
"Fatima Nursing Institute, Ad-din Hospital, Dhaka"
"Fauzderhat Nursing College, Chittagong"
"Feni Nursing Institute"
"Fouzderhat Nursing College, Chittagong"
"Gaibandha Community Nursing Institute, Gaibandha"
"GARCM Hospital and Traing Institute, Chandpur"
"GARMH and Training Institute, Chandpur"
"Gazi Munibur Rahman Nursing College, Patuakhali"
"Gazi Munibur Rahman Nursing Institute, Patuakhali"
"Global Nursing Institute, Boalia, Rajshahi"
"GMR Nursing Institute, Khulna"
"Golden Life Nursing Institute, Thakurgoan"
"Gopalgonj Nursing Institute"
"Grameen Caledonian College of Nursing, Dhaka"
"Green Life College of Nursing Dhanmondi, Dhaka"
"Habigonj Nursing Institute"
"Hamida Nursing Institute, Mirpur, Dhaka"
"Hobigonj Nursing Institute"
"Hollyfamily R.C. Hospital, Dhaka"
"Holy Family Red Crescent Nursing College, Dhaka"
"IBN SINA Nursing Institute, Dhaka"
"Ibrahim Cardiac Hospital and Research Institute, Dhaka"
"Ibrahim Cardiac Hospital, Shahbag, Dhaka"
"ICMH Midwifery Institute, Matuail, Dhaka"
"ICMH, Matuail, Dhaka"
"Ideal  Nursing Institute, Bogra"
"Ideal Nursing Institute, Bogra"
"Impact Nursing Institute, Amjhupi, Meherpur"
"Institute of Community Health-Bangladesh, Dhaka"
"Institute of Health Science, Keraniganj, Dhaka"
"Institute of Nursing Science, Dinajpur"
"Institute of Patuakhali Medical Technology (IPMT), Patuakhali"
"International Nursing College, Tongi, Gazipur"
"Islami Bank Nursing College, Rajshahi"
"Islami Bank Nursing Institute, Rajshahi"
"J.T.S Community Paramedic Institute, Hazaribag, Dhaka"
"Jahurul Islam Nursing College, Bajitpur, Kishorgonj"
"Jahurul Islam Nursing Institute, Bajitpur, Kishorgonj"
"Jamalpur Nursing Institute"
"Jameson Red-Crecent Maternity Hospital,CTG"
"Jameson Red-Crescent Nursing Institute, Chittagong"
"Jamison Redcrecent Maternity Hospital,CTG"
"Japan-Bangladesh Friendship Nursing Institute, Dhaka"
"Jashim Uddin Nursing Institute, Jamalpur"
"Jemison Red-crescent Nursing Institute, Chittagong"
"Jessore Institute of Nursing Science and Midwifery, Jessore"
"Jessore Nursing Institute"
"Jhenaidah Nursing Institute"
"Joypurhat Nursing Institute"
"Kalihati Nursing Institute, Kalihati, Tangail"
"Karatoa Nursing Institute, Kalitola, Bogra"
"Khaja Yunus Ali Nursing College, Enayetpur, Sirajgonj"
"Khulna Nursing Institute"
"Khwaja Yunus Ali Nursing College, Enayetpur, Sirajgonj"
"Kishorgonj Nursing Institute"
"Kumudini Nursing College, Mirzapur, Tangail"
"Kurigram Nursing Institute"
"Kushtia Nursing Institute"
"LAMB Hospital, Parbatipur, Dinajpur"
